antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Premium Nylon USB Cable'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.0510598586855086,0.23836821757099053,0.020130649246767097,0.3942558746736292,1.6539783646123563,0.007959601742475753,1.2573490201306492
frozenset({'Stylus Pen for iPad'}),frozenset({'USB 2.0 Printer cable'}),0.09505399280095987,0.1709105452606319,0.020130649246767097,0.211781206171108,1.2391348108342286,0.0038849195079548662,1.0518519238953192
frozenset({'USB 2.0 Printer cable'}),frozenset({'Stylus Pen for iPad'}),0.1709105452606319,0.09505399280095987,0.020130649246767097,0.11778471138845555,1.2391348108342286,0.0038849195079548662,1.0257655006447122
frozenset({'SanDisk Ultra 64GB card'}),frozenset({'Apple Pencil'}),0.09825356619117451,0.17970937208372217,0.019997333688841486,0.20352781546811397,1.132538682363741,0.0023402470036390823,1.0299049280652415
frozenset({'Apple Pencil'}),frozenset({'SanDisk Ultra 64GB card'}),0.17970937208372217,0.09825356619117451,0.019997333688841486,0.11127596439169138,1.132538682363741,0.0023402470036390823,1.0146529155044213
frozenset({'HP 61 ink'}),frozenset({'Stylus Pen for iPad'}),0.1638448206905746,0.09505399280095987,0.01986401813091588,0.12123677786818551,1.2754517121868998,0.00428991372451944,1.0297950396737225
frozenset({'Stylus Pen for iPad'}),frozenset({'HP 61 ink'}),0.09505399280095987,0.1638448206905746,0.01986401813091588,0.20897615708274897,1.2754517121868998,0.00428991372451944,1.057054331290107
frozenset({'Cat8 Ethernet Cable'}),frozenset({'Apple Pencil'}),0.06252499666711105,0.17970937208372217,0.01946407145713905,0.31130063965884863,1.7322448798820649,0.0082277435665557,1.1910721501323045
frozenset({'Apple Pencil'}),frozenset({'Cat8 Ethernet Cable'}),0.17970937208372217,0.06252499666711105,0.01946407145713905,0.10830860534124628,1.7322448798820649,0.0082277435665557,1.051344679278481
frozenset({'Cat8 Ethernet Cable'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.06252499666711105,0.23836821757099053,0.019197440341287828,0.3070362473347548,1.288075442538029,0.004293468332116444,1.0990932491052476
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Cat8 Ethernet Cable'}),0.23836821757099053,0.06252499666711105,0.019197440341287828,0.08053691275167785,1.288075442538029,0.004293468332116444,1.0195896021649669
frozenset({'Apple Pencil'}),frozenset({'Syntech USB C to USB Adapter'}),0.17970937208372217,0.08105585921877083,0.019064124783362217,0.10608308605341245,1.308765178431985,0.004497627219450328,1.027997262882238
frozenset({'Syntech USB C to USB Adapter'}),frozenset({'Apple Pencil'}),0.08105585921877083,0.17970937208372217,0.019064124783362217,0.23519736842105263,1.308765178431985,0.004497627219450328,1.0725520468238643
frozenset({'USB 2.0 Printer cable'}),frozenset({'Nylon Braided Lightning to USB cable'}),0.1709105452606319,0.09532062391681109,0.019064124783362217,0.11154446177847115,1.1702028081123246,0.0027728249751564037,1.018260720051491
frozenset({'Nylon Braided Lightning to USB cable'}),frozenset({'USB 2.0 Printer cable'}),0.09532062391681109,0.1709105452606319,0.019064124783362217,0.19999999999999998,1.1702028081123246,0.0027728249751564037,1.03636181842421
frozenset({'Syntech USB C to USB Adapter'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.08105585921877083,0.17411011865084655,0.018130915877882948,0.2236842105263158,1.2847283791408077,0.004018270611956445,1.0638581522463673
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Syntech USB C to USB Adapter'}),0.17411011865084655,0.08105585921877083,0.018130915877882948,0.10413476263399693,1.2847283791408075,0.004018270611956445,1.0257615793677652
frozenset({'HP 61 ink'}),frozenset({'Logitech M510 Wireless mouse'}),0.1638448206905746,0.07145713904812692,0.017997600319957337,0.1098454027664768,1.5372208323719074,0.0062897181855555255,1.0431253894971226
frozenset({'Logitech M510 Wireless mouse'}),frozenset({'HP 61 ink'}),0.07145713904812692,0.1638448206905746,0.017997600319957337,0.251865671641791,1.5372208323719074,0.0062897181855555255,1.1176538057602294
frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.0871883748833489,0.12958272230369283,0.01786428476203173,0.20489296636085627,1.581175041844427,0.0065661777914124645,1.0947171146411248
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.12958272230369283,0.0871883748833489,0.01786428476203173,0.13786008230452676,1.5811750418444268,0.0065661777914124645,1.058774343214063
frozenset({'Syntech USB C to USB Adapter'}),frozenset({'USB 2.0 Printer cable'}),0.08105585921877083,0.1709105452606319,0.01786428476203173,0.22039473684210528,1.289532699729042,0.004010983666382591,1.0634733934209617
frozenset({'USB 2.0 Printer cable'}),frozenset({'Syntech USB C to USB Adapter'}),0.1709105452606319,0.08105585921877083,0.01786428476203173,0.1045241809672387,1.289532699729042,0.004010983666382591,1.0262076554717212
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'Logitech M510 Wireless mouse'}),0.12958272230369283,0.07145713904812692,0.01759765364618051,0.1358024691358025,1.9004744794545791,0.008338043040290713,1.0744567391014532
frozenset({'Apple USB-C Charger cable'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.13211571790427942,0.12958272230369283,0.01759765364618051,0.13319878910191726,1.027905470219631,0.0004777392610372487,1.0041717371327594
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'Apple USB-C Charger cable'}),0.12958272230369283,0.13211571790427942,0.01759765364618051,0.1358024691358025,1.0279054702196313,0.0004777392610372487,1.0042660978536195
frozenset({'HP 61 ink'}),frozenset({'HP 63XL Ink'}),0.1638448206905746,0.0793227569657379,0.01759765364618051,0.10740439381611065,1.3540174084279766,0.0046010307544471565,1.0314606487594422
frozenset({'HP 63XL Ink'}),frozenset({'HP 61 ink'}),0.0793227569657379,0.1638448206905746,0.01759765364618051,0.22184873949579834,1.3540174084279766,0.0046010307544471565,1.0745406731946179
frozenset({'Logitech M510 Wireless mouse'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.07145713904812692,0.12958272230369283,0.01759765364618051,0.2462686567164179,1.900474479454579,0.008338043040290713,1.1548110416960906
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'SAMSUNG EVO 32GB card'}),0.23836821757099053,0.0523930142647647,0.0174643380882549,0.0732662192393736,1.3983967188665174,0.004975508664791458,1.0225234100751965
frozenset({'SAMSUNG EVO 32GB card'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.0523930142647647,0.23836821757099053,0.0174643380882549,0.3333333333333333,1.3983967188665174,0.004975508664791458,1.142447673643514
frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'Apple USB-C Charger cable'}),0.0871883748833489,0.13211571790427942,0.0174643380882549,0.2003058103975535,1.5161391360161947,0.005945383347633816,1.0852702112630999
